"Date","Name","qb_l","qb_r","qb_t"
2018-10-21,"Isaiah Hartenstein",26,18,44
2018-10-20,"Clint Capela",28,NA,28
2018-10-20,"Eric Gordon",26,27,53
2018-10-20,"PJ Tucker",24,21,45
2018-10-20,"Isaiah Hartenstein",22,21,43
2018-10-17,"Clint Capela",31,21,52
2018-10-17,"James Harden",26,27,53
2018-10-17,"Isaiah Hartenstein",22,21,43
2018-10-15,"Chris Walker",15,22,37
2018-10-10,"James Harden",25,26,51
2018-10-10,"Eric Gordon",33,33,66
2018-10-10,"Gary Clark",27,29,56
2018-10-04,"James Harden",24,27,51
2018-10-04,"Eric Gordon",28,28,56
2018-10-04,"Isaiah Hartenstein",24,22,46
2018-05-14,"Clint Capela",31,33,64
2018-05-14,"Eric Gordon",29,28,57
2018-05-08,"Clint Capela",34,19,53
2018-05-08,"Eric Gordon",29,28,57
2018-05-08,"PJ Tucker",29,28,57
2018-05-02,"Clint Capela",32,30,62
2018-05-02,"Eric Gordon",28,28,56
2018-05-02,"PJ Tucker",28,29,57
2018-05-01,"Clint Capela",35,31,66
2018-05-01,"Eric Gordon",30,30,60
2018-05-01,"PJ Tucker",29,29,58
2018-04-19,"Clint Capela",35,33,68
2018-04-19,"Eric Gordon",25,25,50
2018-04-19,"PJ Tucker",29,29,58
2018-04-15,"Clint Capela",30,25,55
2018-04-15,"Eric Gordon",28,28,56
2018-04-15,"PJ Tucker",29,29,58
2018-04-07,"PJ Tucker",30,30,60
2018-04-05,"Clint Capela",34,30,64
2018-04-05,"PJ Tucker",27,27,54
2018-04-03,"Clint Capela",31,28,59
2018-04-03,"PJ Tucker",28,28,56
2018-04-02,"James Harden",32,28,60
2018-03-30,"Clint Capela",33,26,59
2018-03-30,"Eric Gordon",26,24,50
2018-03-30,"PJ Tucker",28,27,55
2018-03-27,"Eric Gordon",25,27,52
2018-03-24,"Clint Capela",32,26,58
2018-03-24,"Eric Gordon",28,30,58
2018-03-22,"Clint Capela",31,25,56
2018-03-15,"Clint Capela",33,30,63
2018-03-15,"Eric Gordon",25,30,55
2018-03-12,"Clint Capela",32,26,58
2018-03-12,"Eric Gordon",26,26,52
2018-03-03,"Clint Capela",32,31,63
2018-02-23,"Clint Capela",29,25,54
2017-09-19,"Clint Capela",32,30,62
2017-09-19,"James Harden",28,28,56
2016-09-19,"Eric Gordon",29,29,58
2016-09-19,"Clint Capela",32,31,63
2016-09-19,"James Harden",28,29,57
2015-09-30,"Clint Capela",32,28,60
2015-09-30,"James Harden",30,31,61
2019-01-03,"James Ennis",28,28,56
2019-01-03,"Michael Carter Williams",27,29,56
2018-12-31,"Michael Carter Williams",29,29,58
2018-12-31,"Brandon Knight",35,36,71
2018-12-29,"Michael Carter Williams",26,26,52
2018-12-27,"Brandon Knight",35,35,70
2018-12-27,"Michael Carter Williams",29,30,59
2018-12-25,"Brandon Knight",38,37,75
2018-12-22,"Marquese Chriss",28,29,57
2018-12-22,"Michael Carter Williams",30,30,60
2018-12-22,"Brandon Knight",35,34,69
2018-12-20,"Brandon Knight",33,33,66
2018-12-20,"Marquese Chriss",28,29,57
2018-12-20,"Michael Carter Williams",29,28,57
2018-12-19,"Michael Carter Williams",30,30,60
2018-12-19,"Chris Paul",23,29,52
2018-12-19,"Brandon Knight",33,34,67
2018-12-17,"Brandon Knight",34,35,69
2018-12-17,"Michael Carter Williams",24,25,49
2018-12-17,"Marquese Chriss",29,28,57
2018-12-17,"Chris Paul",25,29,54
2018-12-15,"Michael Carter Williams",24,27,51
2018-12-15,"Marquese Chriss",27,27,54
2018-12-15,"Chris Paul",26,27,53
2018-12-15,"Brandon Knight",33,34,67
2018-12-13,"Chris Paul",28,29,57
2018-12-13,"Brandon Knight",35,35,70
2018-12-11,"Michael Carter Williams",29,30,59
2018-12-11,"James Ennis",15,22,37
2018-12-11,"Chris Paul",28,30,58
2018-12-08,"Chris Paul",27,27,54
2018-12-08,"James Ennis",18,25,43
2018-12-08,"Michael Carter Williams",29,29,58
2018-12-06,"Brandon Knight",35,34,69
2018-12-06,"Chris Paul",24,26,50
2018-12-06,"James Ennis",23,25,48
2018-12-06,"Michael Carter Williams",29,29,58
2018-12-03,"Brandon Knight",35,35,70
2018-12-03,"Michael Carter Williams",29,29,58
2018-12-03,"Marquese Chriss",28,29,57
2018-12-03,"James Ennis",17,22,39
2018-12-03,"Chris Paul",30,30,60
2018-12-01,"Michael Carter Williams",28,27,55
2018-12-01,"James Ennis",27,28,55
2018-12-01,"Marquese Chriss",27,27,54
2018-12-01,"Chris Paul",30,31,61
2018-11-30,"Marquese Chriss",29,29,58
2018-11-30,"Michael Carter Williams",29,29,58
2018-11-30,"James Ennis",27,28,55
2018-11-30,"Chris Paul",30,31,61
2018-11-28,"Chris Paul",31,31,62
2018-11-28,"Michael Carter Williams",25,27,52
2018-11-28,"James Ennis",28,28,56
2018-11-28,"Marquese Chriss",28,30,58
2018-11-26,"Chris Paul",28,30,58
2018-11-26,"James Ennis",25,24,49
2018-11-26,"Marquese Chriss",29,29,58
2018-11-24,"James Ennis",26,27,53
2018-11-24,"Michael Carter Williams",27,26,53
2018-11-23,"James Ennis",26,25,51
2018-11-23,"Marquese Chriss",28,28,56
2018-11-23,"Michael Carter Williams",26,27,53
2018-11-23,"Chris Paul",26,29,55
2018-11-21,"James Ennis",26,25,51
2018-11-21,"Marquese Chriss",30,29,59
2018-11-21,"Michael Carter Williams",29,30,59
2018-11-21,"Chris Paul",29,28,57
2018-11-17,"James Ennis",28,29,57
2018-11-17,"Marquese Chriss",30,29,59
2018-11-17,"Michael Carter Williams",30,29,59
2018-11-17,"Chris Paul",26,31,57
2018-11-15,"James Ennis",26,27,53
2018-11-15,"Marquese Chriss",31,34,65
2018-11-15,"Chris Paul",32,31,63
2018-11-13,"James Ennis",24,24,48
2018-11-13,"Marquese Chriss",29,30,59
2018-11-13,"Michael Carter Williams",25,25,50
2018-11-13,"Chris Paul",28,29,57
2018-11-10,"James Ennis",27,28,55
2018-11-10,"Marquese Chriss",30,29,59
2018-11-10,"Michael Carter Williams",26,22,48
2018-11-10,"Chris Paul",28,30,58
2018-11-08,"James Ennis",26,26,52
2018-11-08,"Marquese Chriss",30,29,59
2018-11-08,"Chris Paul",28,28,56
2018-11-05,"James Ennis",24,27,51
2018-11-05,"Marquese Chriss",29,28,57
2018-11-05,"Michael Carter Williams",24,24,48
2018-11-05,"Chris Paul",29,29,58
2018-11-02,"James Ennis",28,29,57
2018-11-02,"Michael Carter Williams",25,25,50
2018-11-02,"Chris Paul",30,28,58
2018-10-30,"Marquese Chriss",29,28,57
2018-10-30,"Michael Carter Williams",25,25,50
2018-10-30,"Chris Paul",29,28,57
2018-10-30,"Brandon Knight",33,30,63
2018-10-24,"Michael Carter Williams",27,27,54
2018-10-21,"James Ennis",25,19,44
2018-10-21,"Michael Carter Williams",25,26,51
2018-10-20,"James Ennis",26,23,49
2018-10-20,"Michael Carter Williams",26,26,52
2018-10-20,"Chris Paul",30,31,61
2018-10-17,"James Ennis",28,28,56
2018-10-17,"Michael Carter Williams",26,24,50
2018-10-17,"Chris Paul",30,29,59
2021-11-07,"Danuel House D",27,27,54
2021-11-07,"Jae'Sean Tate",31,29,60
2021-11-07,"Jalen Green",31,28,59
2021-11-07,"Usman Garuba",21,22,43
2021-11-07,"David Nwaba",28,26,54
2021-11-06,"Jae'Sean Tate",32,31,63
2021-11-06,"Usman Garuba",24,24,48
2021-11-06,"Jalen Green",25,26,51
2021-11-06,"Joshua Christopher",24,24,48
2021-11-06,"Eric Gordon",24,25,49
2021-11-06,"David Nwaba",29,28,57
